ticker,name,star6,star12,star24,o,h,l,c,v
1301,株式会社極洋,0,0,1,2860.0,2950.0,2850.0,2938.0,82700
1305,ダイワ 上場投信-トピックス,0,0,1,1704.0,1705.0,1693.0,1704.0,44690
1306,TOPIX連動型上場投資信託,0,0,0,1680.0,1682.0,1670.0,1681.0,1638550
1308,上場インデックスファンドTOPIX,0,0,1,1661.0,1665.0,1653.0,1665.0,82300
1309,上海株式指数･上証50連動型上場投資信託,4,3,2,32600.0,32600.0,32000.0,32300.0,511
1310,ダイワ 上場投信-トピックス･コア30,0,0,0,728.0,728.0,726.0,727.0,4470
1311,TOPIXCore30連動型上場投資信託,0,0,1,741.0,743.0,739.0,743.0,1340
1320,ダイワ 上場投信-日経225,0,0,1,22140.0,22180.0,22050.0,22150.0,36345
1321,日経225連動型上場投資信託,0,0,0,22170.0,22210.0,22070.0,22190.0,129108
1322,上場インデックスファンド中国A株CSI300,2,0,2,5190.0,5190.0,4890.0,5150.0,830
1324,(NEXT FUNDS)ロシア株式指数上場投信,0,0,0,131.0,131.0,129.0,130.0,45800
1325,(NEXT FUNDS)ブラジル株式指数上場投信,1,0,0,209.0,212.0,209.0,211.0,13000
1326,SPDRゴールド･シェア,0,0,0,13730.0,13760.0,13730.0,13730.0,5150
1328,金価格連動型上場投資信託,0,0,0,3730.0,3730.0,3730.0,3730.0,240
1329,ｉシェアーズ 日経２２５ ＥＴＦ,0,0,0,22130.0,22150.0,22020.0,22110.0,5103
1330,上場インデックスファンド225,0,0,1,22250.0,22290.0,22140.0,22240.0,26740
1332,日本水産(株),0,3,2,813.0,824.0,806.0,821.0,2148100
1333,マルハ,2,2,2,4015.0,4040.0,3975.0,4005.0,216600
1343,(NEXT FUNDS)東証REIT指数連動型上場投信,2,0,1,2031.0,2075.0,2029.0,2066.0,405210
1344,MAXIS トピックス･コア30上場投信,0,0,1,707.0,709.0,707.0,709.0,1320
1345,上場インデックスファンドJリート隔月分配,1,0,0,1912.0,1957.0,1912.0,1948.0,73400
1346,MAXIS 日経225上場投信,0,0,0,22060.0,22120.0,21970.0,22090.0,32695
1348,MAXIS トピックス上場投信,1,1,2,1665.0,1669.0,1656.0,1668.0,211880
1352,株式会社ホウスイ,0,0,0,826.0,826.0,813.0,826.0,3400
1356,TOPIXベア2倍上場投信,1,1,0,2455.0,2487.0,2449.0,2450.0,127570
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,0,0,0,1171.0,1182.0,1166.0,1170.0,22777690
1358,上場インデックス日経レバレッジ指数,0,0,2,17210.0,17300.0,17070.0,17240.0,25569
1360,日経平均ベア2倍上場投信,0,0,0,2806.0,2831.0,2791.0,2802.0,964009
1364,ｉシェアーズ ＪＰＸ日経４００ ＥＴＦ,0,0,1,14570.0,14580.0,14510.0,14550.0,83
1365,ダイワ 上場投信-日経平均レバレッジ,0,0,0,13930.0,13980.0,13800.0,13920.0,87467
1366,ダイワ 上場投信-日経平均ダブルインバース,0,0,0,3060.0,3085.0,3040.0,3050.0,225561
1367,ダイワ 上場投信-TOPIXレバレッジ(2倍),0,0,2,12690.0,12750.0,12550.0,12750.0,4319
1368,ダイワ 上場投信-TOPIX Wインバース(-2倍),0,0,0,3595.0,3635.0,3575.0,3575.0,11932
1369,DIAM ETF 日経225,0,0,1,21450.0,21520.0,21440.0,21520.0,2031
1376,カネコ種苗株式会社,0,0,1,1429.0,1429.0,1391.0,1400.0,5200
1377,(株)サカタのタネ,2,3,2,3840.0,3860.0,3795.0,3845.0,109400
1379,ホクト株式会社,0,0,0,1941.0,1956.0,1936.0,1954.0,98500
1380,(株)秋川牧園,5,4,0,878.0,915.0,876.0,889.0,19900
1381,(株)アクシーズ,0,0,3,2350.0,2350.0,2232.0,2299.0,3500
1383,ベルグアース(株),4,1,3,2457.0,2498.0,2411.0,2489.0,9800
1384,株式会社ホクリヨウ,0,0,3,608.0,608.0,600.0,603.0,22400
1385,UBS ETF ユーロ圏大型株50(E･ストックス50),0,0,1,4130.0,4145.0,4120.0,4140.0,232
1386,UBS ETF 欧州株(MSCIヨーロッパ),0,0,0,7740.0,7740.0,7720.0,7730.0,20
1390,UBS ETF MSCIアジア太平洋株(除く日本),0,0,0,4900.0,4900.0,4805.0,4805.0,102
1391,UBS ETF スイス株(MSCIスイス20/35),0,0,0,1999.0,2000.0,1993.0,1997.0,341
1392,UBS ETF 英国株(MSCI英国),0,0,0,2700.0,2700.0,2671.0,2684.0,213
1398,SMAM 東証REIT指数上場投信,1,0,0,1919.0,1950.0,1919.0,1950.0,540
1400,ルーデン・ホールディングス(株),0,2,5,318.0,329.0,308.0,319.0,19300
1401,株式会社エムビーエス,3,5,4,1002.0,1025.0,995.0,1025.0,10000
1407,(株)ウエストホールディングス,4,4,3,1150.0,1179.0,1149.0,1166.0,71700
1413,株式会社桧家ホールディングス,0,0,0,2224.0,2251.0,2214.0,2218.0,12600
1414,ショーボンドホールディングス(株),0,2,3,7430.0,7530.0,7420.0,7480.0,81300
1417,(株)ミライト・ホールディングス,0,1,2,1601.0,1625.0,1590.0,1622.0,630200
1418,インターライフホールディングス株式会社,3,2,2,193.0,206.0,191.0,206.0,76800
1419,タマホーム(株),3,5,4,1080.0,1085.0,1065.0,1082.0,196400
1420,サンヨーホームズ(株),0,0,3,863.0,867.0,846.0,847.0,50200
1429,(株)日本アクア,5,5,3,554.0,569.0,542.0,549.0,133700
1430,ファーストコーポレーション(株),0,1,3,806.0,814.0,803.0,810.0,63200
1433,ベステラ株式会社,3,2,1,1414.0,1436.0,1414.0,1427.0,23800
1434,JESCOホールディングス株式会社,0,0,2,412.0,412.0,402.0,406.0,18400
1435,株式会社インベスターズクラウド,0,0,1,250.0,259.0,250.0,257.0,1212800
1436,株式会社フィット,1,0,2,653.0,665.0,645.0,665.0,1200
1439,株式会社安江工務店,0,0,0,1080.0,1087.0,1070.0,1070.0,3200
1443,,4,5,0,248.0,252.0,243.0,247.0,140000
1446,,0,0,0,1025.0,1067.0,1025.0,1060.0,19200
1447,,3,3,2,394.0,407.0,394.0,405.0,88100
1448,,4,2,2,502.0,516.0,501.0,507.0,912100
1450,,0,0,0,2514.0,2580.0,2514.0,2572.0,600
1456,ダイワ上場投信－日経平均インバース・インデックス,0,0,0,6990.0,7010.0,6970.0,6970.0,5882
1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,1,0,1,7580.0,7600.0,7560.0,7580.0,98
1458,楽天ＥＴＦ－日経レバレッジ指数連動型,0,0,1,10410.0,10450.0,10300.0,10410.0,211676
1459,楽天ＥＴＦ－日経ダブルインバース指数連動型,0,0,0,4550.0,4590.0,4525.0,4545.0,324624
1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,0,0,1,9870.0,9870.0,9750.0,9860.0,306
1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,3,2,1,4890.0,4925.0,4855.0,4875.0,7124
1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,0,0,2,9720.0,9720.0,9580.0,9650.0,630
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,3,1,0,4800.0,4880.0,4785.0,4810.0,1190
1470,ＮＥＸＴ ＦＵＮＤＳ ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,0,0,2,19750.0,19910.0,19510.0,19510.0,194
1472,ＮＥＸＴ ＦＵＮＤＳ ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,4,3,1,1942.0,1959.0,1938.0,1947.0,921
1473,Ｏｎｅ ＥＴＦ トピックス,0,0,0,1630.0,1631.0,1627.0,1627.0,170
1475,ｉシェアーズ ＴＯＰＩＸ ＥＴＦ,0,0,1,1643.0,1645.0,1632.0,1645.0,6410
1476,ｉシェアーズ Ｊリート ＥＴＦ,0,0,0,1952.0,1991.0,1947.0,1982.0,43509
1477,ｉシェアーズ ＭＳＣＩ 日本株最小分散 ＥＴＦ,0,0,1,1845.0,1850.0,1841.0,1850.0,120
1478,ｉシェアーズ ＭＳＣＩ ジャパン高配当利回り ＥＴＦ,0,0,1,1887.0,1894.0,1877.0,1886.0,6155
1482,ｉシェアーズ 米国債７－１０年 ＥＴＦ（為替ヘッジあり）,0,0,0,2283.0,2290.0,2282.0,2288.0,1520
1488,ダイワ上場投信－東証ＲＥＩＴ指数,0,0,0,1944.0,1981.0,1943.0,1976.0,3110
1489,ＮＥＸＴ ＦＵＮＤＳ 日経平均高配当株５０指数連動型上場投信,0,0,0,34650.0,34800.0,34550.0,34700.0,425
1492,ＭＡＸＩＳ ＪＰＸ 日経中小型株指数上場投信,0,1,0,13300.0,13350.0,13270.0,13350.0,129
1494,,0,0,0,18160.0,18160.0,18100.0,18100.0,167
1495,,1,0,0,11350.0,11430.0,11310.0,11390.0,510
1496,,0,0,0,2392.0,2394.0,2387.0,2393.0,1507
1497,,0,0,0,2399.0,2400.0,2398.0,2400.0,2515
1514,住石ホールディングス(株),0,0,2,101.0,102.0,99.0,101.0,525400
