ticker,4579,4812,6094,6069,7707,2436,4025,6055,3661,6955,4274,3036,6944
name,ラクオリア創薬(株),株式会社電通国際情報サービス,(株)フリークアウト,トレンダーズ(株),プレシジョン・システム・サイエンス(株),共同ピーアール株式会社,多木化学(株),ジャパンマテリアル株式会社,(株)エムアップ,ＦＤＫ(株),細谷火工株式会社,アルコニックス(株),(株)アイレックス
star6,5,4,4,5,5,5,5,4,4,5,5,4,5
star12,4,5,5,4,5,5,5,5,5,5,5,4,5
star24,5,4,4,4,4,5,5,5,5,5,5,4,5
v,808400,36000,154700,139100,668300,114600,56200,516500,504500,1021900,177000,350400,41800
c,1731.0,3775.0,2172.0,762.0,448.0,1711.0,6100.0,1366.0,2850.0,1069.0,1070.0,1198.0,3050.0
buy,1738.5,,2172.0,762.0,448.0,,,,,1069.0,1070.0,1306.0,3082.5
stop,1675.0,3735.0,2069.0,748.0,431.0,1665.0,6050.0,1333.0,2922.0,1018.0,1046.0,1278.0,3020.0
sell,,3675.0,,,,1581.0,5940.0,1305.0,2847.5,,,,
date,2019.03.27,2019.03.22,2019.03.27,2019.03.27,2019.03.27,2019.03.22,2019.03.25,2019.03.20,2019.03.27,2019.03.27,2019.03.27,2019.03.26,2019.03.22
pattern,BULLISH HARAMI,BEARISH SHOOTING STAR,BULLISH ONE WHITE SOLDIER,BULLISH ENGULFING,BULLISH ENGULFING,BEARISH ONE BLACK CROW,BEARISH DESCENDING HAWK,BEARISH DESCENDING HAWK,BEARISH HARAMI,BULLISH ONE WHITE SOLDIER,BULLISH ENGULFING,BULLISH ONE WHITE SOLDIER,BULLISH HARAMI CROSS
total,15.0,4.0,7.0,12.0,12.0,5.0,5.0,7.0,14.0,10.0,13.0,10.0,9.0
confirmed,9.0,2.0,5.0,8.0,8.0,2.0,1.0,3.0,7.0,5.0,8.0,8.0,5.0
success,6.0,2.0,3.0,7.0,4.0,2.0,1.0,2.0,5.0,4.0,6.0,7.0,4.0
profit,34.0,13.0,23.0,14.0,23.0,11.0,10.0,13.0,12.0,11.0,12.0,7.0,7.0
loss,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,1.0,1.0
e,22.33,13.0,12.59,12.0,11.0,11.0,10.0,8.66,8.57,7.4,6.5,6.0,5.4
rr,6.04,7.95,2.65,6.5,2.88,2.05,5.4,4.03,3.24,1.54,2.87,2.78,2.61
target,2126.0,3198.0,2445.0,853.0,497.0,1408.0,5346.0,1192.0,2604.0,1148.0,1139.0,1384.0,3248.0
reward,387.0,477.0,273.0,91.0,49.0,173.0,594.0,113.0,243.0,79.0,69.0,78.0,165.0
risk,64.0,60.0,103.0,14.0,17.0,84.0,110.0,28.0,75.0,51.0,24.0,28.0,63.0
