ticker,4579,6069,7707,2436,6955,3036,3678,6944
name,ラクオリア創薬(株),トレンダーズ(株),プレシジョン・システム・サイエンス(株),共同ピーアール株式会社,ＦＤＫ(株),アルコニックス(株),(株)メディアドゥ,(株)アイレックス
star6,5,5,5,5,5,4,5,5
star12,4,4,5,5,5,4,5,5
star24,5,4,4,5,5,4,4,5
v,1252500,182400,1177000,333200,669500,214400,143800,55600
c,1726.0,732.0,416.0,1823.0,1028.0,1149.0,2850.0,2851.0
buy,1738.5,762.0,448.0,,1069.0,1306.0,,3082.5
stop,1675.0,748.0,431.0,1665.0,1018.0,1278.0,2926.0,3020.0
sell,,,,1581.0,,,2850.0,
date,2019.03.27,2019.03.27,2019.03.27,2019.03.22,2019.03.27,2019.03.26,2019.03.28,2019.03.22
pattern,BULLISH HARAMI,BULLISH ENGULFING,BULLISH ENGULFING,BEARISH ONE BLACK CROW,BULLISH ONE WHITE SOLDIER,BULLISH ONE WHITE SOLDIER,BEARISH ONE BLACK CROW,BULLISH HARAMI CROSS
total,15.0,12.0,12.0,5.0,10.0,10.0,4.0,9.0
confirmed,9.0,8.0,8.0,2.0,5.0,8.0,2.0,5.0
success,6.0,7.0,4.0,2.0,4.0,7.0,2.0,4.0
profit,34.0,14.0,23.0,11.0,11.0,7.0,6.0,7.0
loss,1.0,2.0,1.0,0.0,7.0,1.0,0.0,1.0
e,22.33,12.0,11.0,11.0,7.4,6.0,6.0,5.4
rr,6.04,6.5,2.88,2.05,1.54,2.78,2.25,2.61
target,2126.0,853.0,497.0,1408.0,1148.0,1384.0,2679.0,3248.0
reward,387.0,91.0,49.0,173.0,79.0,78.0,171.0,165.0
risk,64.0,14.0,17.0,84.0,51.0,28.0,76.0,63.0
