ticker,buy,stop,sell
1301,2861.5,2796.0,
1305,,1692.0,
1309,32500.0,31800.0,
1322,5200.0,5060.0,
1324,130.0,128.0,
1325,206.0,203.0,
1328,,3730.0,
1329,21990.0,21760.0,
1330,22130.0,21880.0,
1333,,4055.0,
1352,825.0,806.0,
1357,1205.0,1166.0,
1360,2887.0,2791.0,
1364,,14480.0,
1365,13770.0,13460.0,
1366,3140.0,3040.0,
1379,,1999.0,
1380,901.0,880.0,
1381,2321.0,2310.0,
1385,4140.0,4080.0,
1392,2670.0,2651.0,
1398,,1926.0,
1413,2224.0,2147.0,
1414,7395.0,7320.0,
1418,209.0,202.0,
1429,541.0,519.0,
1439,1080.0,1070.0,
1443,251.0,239.0,
1447,400.0,392.0,
1448,512.0,488.0,
1456,7080.0,6970.0,
1458,10290.0,10070.0,
1459,4675.0,4525.0,
1464,,9750.0,
1466,5030.0,4855.0,
1467,,9550.0,
1477,1834.0,1817.0,
1478,1872.5,1855.0,
1488,,1933.0,
1494,17975.0,17850.0,
1518,1330.0,1308.0,
1540,4505.0,4495.0,
1542,4855.0,4845.0,
1543,45650.0,45100.0,
1557,31100.0,31000.0,
1559,3350.0,3315.0,
1569,3230.0,3170.0,
1570,18000.0,17600.0,
1572,12900.0,12610.0,
1575,,650.0,
1578,1706.0,1690.0,
1597,,1933.0,
1599,,14470.0,
1605,1051.0,1039.5,
1615,160.0,157.0,
1618,12145.0,11820.0,
1621,22300.0,21800.0,
1627,,8410.0,
1659,,2127.0,
1663,1525.0,1490.0,
1681,1433.0,1401.0,
1689,4.0,3.0,
1698,,1728.0,
1720,834.5,810.0,
1723,2750.0,2651.0,
1728,250.0,242.0,
1737,1092.0,1040.0,
1762,2445.0,2402.0,
1768,719.0,716.0,
1775,1871.0,1864.0,
1776,749.5,735.0,
1780,908.5,900.0,
1783,64.0,63.0,
1789,406.0,401.0,
1801,5160.0,5090.0,
1802,1114.0,1100.0,
1805,1352.5,1331.0,
1808,1392.0,1364.0,
1810,711.5,703.0,
1812,1634.0,1613.0,
1813,1489.0,1474.0,
1815,,2789.0,
1820,2474.5,2436.0,
1824,1102.0,1069.0,
1826,388.0,385.0,
1827,,501.0,
1833,3515.0,3460.0,
1835,3050.0,3000.0,
1860,680.0,669.0,
1861,3467.5,3430.0,
1866,,3190.0,
1867,2339.5,2325.0,
1870,779.5,763.0,
1879,,993.0,
1881,2107.0,2056.0,
1884,6510.0,6440.0,
1885,1596.0,1557.0,
1888,1494.5,1465.0,
1893,528.0,518.0,
1905,797.0,786.0,
1906,114.0,112.0,
1909,1082.5,1052.0,
1925,,3563.0,
1928,,1821.5,
1929,596.5,592.0,
1930,893.0,879.0,
1942,980.0,958.0,
1945,985.0,960.0,
1946,3045.0,3030.0,
1959,3470.0,3400.0,
1960,675.0,665.0,
1961,1217.5,1207.0,
1965,861.5,847.0,
1966,652.0,643.0,
1968,2440.0,2378.0,
1975,2985.0,2950.0,
1983,2001.0,1973.0,
2001,,1955.0,
2002,2540.0,2499.0,
2003,6150.0,6110.0,
2004,3000.0,2969.0,
2009,764.0,753.0,
2036,10270.0,10190.0,
2038,1577.0,1559.0,
2053,1168.0,1139.0,
2060,177.5,173.0,
2107,,1034.0,
2108,1914.0,1840.0,
2109,,2942.0,
2112,231.0,227.0,
