ticker,7577,6494,4579,9698,6300,6177,3850,2436,4288,3344,5304,5358,4235,7707,4824,6955,3452,3907,4274,3036,3678,6944,4242,3921,4582,5698,6055,4552,2351,2163,1848,3192,2191,6754,5542,2136,9828,4659,6069,7522,8789,4776,6047,3726,9707,3185,4812,8167,8938,3021,3956,6664,6200,3316,7777,2345,3769,3054,6256,4970,3139,6930,4335,5903,6866,6938,3966,6246,6976,7851,3655,3546,4344,4816,4248,2162,6035,3836,4924,4369,2180,4591,2427,7839,6131,3900,9385,2122,3733,9913
name,(株)パスポート,(株)ＮＦＫホールディングス,ラクオリア創薬(株),(株)クレオ,アピックヤマダ株式会社,AppBank株式会社,(株)ＮＴＴデータイントラマート,共同ピーアール株式会社,(株)アズジェント,(株)ワンダーコーポレーション,ＳＥＣカーボン(株),イソライト工業株式会社,第一化成(株),プレシジョン・システム・サイエンス(株),(株)メディアシーク,ＦＤＫ(株),(株)ビーロット,シリコンスタジオ(株),細谷火工株式会社,アルコニックス(株),(株)メディアドゥ,(株)アイレックス,(株)タカギセイコー,株式会社ネオジャパン,シンバイオ製薬(株),(株)エンビプロ・ホールディングス,ジャパンマテリアル株式会社,JCRファーマ株式会社,(株)ＡＳＪ,(株)アルトナー,(株)富士ピー・エス,(株)白鳩,テラ(株),アンリツ株式会社,新報国製鉄(株),株式会社ヒップ,元気寿司(株),(株)エイジス,トレンダーズ(株),ワタミ(株),フィンテック グローバル(株),サイボウズ(株),株式会社Gunosy,(株)フェヴリナホールディングス,(株)ユニマットそよ風,夢展望,株式会社電通国際情報サービス,(株)丸久,(株)ロジコム,(株)パシフィックネット,国際チャート株式会社,(株)オプトエレクトロニクス,株式会社インソース,東京日産コンピュータシステム(株),株式会社スリー・ディー・マトリックス,∇stuv0123456789について,ＧＭＯペイメントゲートウェイ(株),株式会社ハイパー,(株)ニューフレアテクノロジー,東洋合成工業(株),株式会社ラクト・ジャパン,日本アンテナ(株),株式会社アイ・ピー・エス,ＳＨＩＮＰＯ(株),日置電機株式会社,双信電機(株),株式会社ユーザベース,(株)テクノスマート,太陽誘電(株),カワセコンピュータサプライ株式会社,(株)ブレインパッド,ダイユー・リックホールディングス株式会社,ソースネクスト(株),東映アニメーション(株),竹本容器(株),日本マニュファクチャリングサービス(株),株式会社アイ・アールジャパンホールディングス,(株)ディーバ,(株)ドクターシーラボ,(株)トリケミカル研究所,(株)サニーサイドアップ,(株)リボミック,(株)アウトソーシング,(株)ＳＨＯＥＩ,浜井産業株式会社,(株)クラウドワークス,(株)ショーエイコーポレーション,株式会社インタースペース,(株)ソフトウェア・サービス,日邦産業(株)
star6,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,5,5,5,4,4,5,4,4,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,5,4,5,5,4,5
star12,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,4,5,5,5,4,5,4,5,4,5,4,4,4,4,5,4,4,5,4,4,4,5,5,5,5,4,4,5,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,4,5,4,5,4,5,4,4,5,5,4,4,5,4
star24,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,5,5,4,4,5,5,4,5,5,4,5,4,4,5,5,5,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5,4,5,5
v,12100,903700,525800,25800,210800,3112200,11300,460900,17400,1900,50000,144800,48100,465300,972600,679000,110400,1642900,134800,88200,137100,34000,5300,29900,3392400,129500,249400,299100,325200,17500,4400,49200,233900,2927000,2000,2700,62100,5000,176200,125200,3609400,905500,987700,3300,7100,21800,47800,9900,4400,9900,1395600,932300,48600,9600,387000,1800,925800,43200,41200,42300,43400,152100,5500,12700,16300,255700,237400,38200,3826300,1730100,440600,22300,1266700,56600,38600,193500,133200,50800,86800,72000,40100,223000,871700,41200,19400,85300,60400,14000,2900,94200
c,225.0,126.0,1721.0,1233.0,566.0,430.0,3560.0,1985.0,2169.0,599.0,9690.0,504.0,2303.0,419.0,810.0,996.0,1602.0,2664.0,976.0,1143.0,2873.0,2830.0,3665.0,937.0,198.0,667.0,1356.0,6520.0,2670.0,909.0,502.0,407.0,274.0,2050.0,1169.0,975.0,5160.0,3505.0,740.0,1612.0,127.0,944.0,2390.0,499.0,1818.0,483.0,3815.0,1166.0,1131.0,1052.0,368.0,1075.0,2451.0,553.0,592.0,890.0,7860.0,466.0,6140.0,1597.0,8970.0,1248.0,941.0,1290.0,4740.0,507.0,3020.0,883.0,2177.0,596.0,5930.0,930.0,452.0,5460.0,1462.0,451.0,1815.0,1563.0,5880.0,5270.0,1850.0,665.0,1366.0,4725.0,961.0,2278.0,900.0,1475.0,10130.0,526.0
buy,238.0,,1738.5,1233.0,,,3560.0,,,603.0,9690.0,507.0,2303.0,429.5,,1069.0,,2664.0,1070.0,1306.0,,3082.5,3835.0,,213.0,,,6500.0,,921.0,,,286.0,2074.0,1198.5,975.0,,,746.5,1648.0,129.0,,2474.0,,,483.0,,,,1091.0,,,,571.0,592.0,894.0,,473.5,6140.0,,,1248.0,948.5,,,552.0,,,,,,,454.0,,1467.0,,,,,,,779.0,,,,,920.0,,,
stop,227.0,133.0,1675.0,1173.0,538.0,405.0,3465.0,1665.0,2188.0,588.0,9430.0,489.0,2200.0,409.0,906.0,1018.0,1523.0,2172.0,1046.0,1278.0,2926.0,3020.0,3595.0,948.0,208.0,689.0,1349.0,6320.0,2850.0,885.0,508.0,401.0,279.0,2047.0,1181.0,955.0,5290.0,3585.0,718.0,1634.0,124.0,952.0,2325.0,503.0,1847.0,470.0,3800.0,1204.0,1169.0,1049.0,351.0,1139.0,2356.0,560.0,576.0,878.0,8070.0,462.0,5970.0,1600.0,8760.0,1179.0,933.0,1248.0,4830.0,525.0,3185.0,905.0,2213.0,795.0,6040.0,933.0,444.0,5310.0,1407.0,474.0,1678.0,1611.0,5890.0,5420.0,1960.0,765.0,1368.0,4750.0,925.0,2376.0,894.0,1395.0,10000.0,532.0
sell,,126.0,,,498.0,360.0,,1581.0,2122.5,,,,,,810.0,,1490.0,,,,2850.0,,,929.0,,667.0,1320.0,,2670.0,,502.0,348.0,,,,,5140.0,3472.5,,,,932.0,,498.0,1810.0,,3690.0,1166.0,1131.0,,329.5,1075.0,2294.0,,,,7860.0,,,1535.0,8620.0,,,1233.0,4697.5,,3020.0,883.0,2158.0,596.0,5925.0,915.0,,5140.0,,450.0,1627.5,1563.0,5880.0,5205.0,1850.0,,1333.0,4660.0,805.5,2278.0,,1362.0,9965.0,490.0
date,2019.03.25,2019.03.29,2019.03.27,2019.03.29,2019.02.13,2019.03.26,2019.03.29,2019.03.22,2019.03.28,2019.03.27,2019.03.29,2019.03.29,2019.03.29,2019.03.29,2019.03.29,2019.03.27,2019.03.27,2019.03.29,2019.03.27,2019.03.26,2019.03.28,2019.03.22,2019.03.25,2019.03.28,2019.03.20,2019.03.29,2019.03.28,2019.03.20,2019.03.29,2019.03.28,2019.03.29,2019.03.25,2019.03.27,2019.03.27,2019.03.27,2019.03.29,2019.03.26,2019.03.28,2019.03.29,2019.03.26,2019.03.29,2019.03.29,2019.03.28,2019.03.08,2019.03.28,2019.03.29,2019.03.28,2019.03.29,2019.03.29,2019.03.27,2019.03.28,2019.03.29,2019.03.15,2019.03.26,2019.03.29,2019.03.26,2019.03.29,2019.03.27,2019.03.29,2019.03.28,2019.03.27,2019.03.29,2019.03.29,2019.03.20,2019.03.27,2019.03.25,2019.03.29,2019.03.29,2019.03.27,2019.03.29,2019.03.25,2019.03.29,2019.03.29,2019.03.26,2019.03.28,2019.03.28,2019.03.19,2019.03.29,2019.02.27,2019.03.25,2019.03.29,2019.03.22,2019.03.28,2019.03.27,2019.03.19,2019.03.29,2019.03.15,2019.03.22,2019.03.26,2019.03.15
