ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
2186,ソーバル(株),4,5,4,2019.04.12,BEARISH ONE BLACK CROW,3.0,1.0,1.0,28.0,0.0,28.0,16900,699.0,,1014.0,970.0,271.0,44.0,6.15
6067,(株)メディアフラッグ,5,5,5,2019.04.15,BULLISH KICKING,4.0,2.0,2.0,22.0,0.0,22.0,130100,4880.0,4000.0,3680.0,,880.0,320.0,2.75
2588,(株)ウォーターダイレクト,4,5,5,2019.04.10,BULLISH PIERCING LINE,5.0,4.0,4.0,19.0,0.0,19.0,1400,2069.0,1739.0,1670.0,,330.0,69.0,4.78
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,71200,2120.0,1800.0,1729.0,,320.0,71.0,4.5
4568,第一三共(株),4,5,4,2019.04.15,BULLISH KICKING,2.0,1.0,1.0,17.0,0.0,17.0,1354000,6215.0,5312.0,5234.0,,903.0,78.0,11.57
6699,,5,5,5,2019.04.16,BEARISH HARAMI,10.0,4.0,3.0,24.0,5.0,16.75,6300,830.0,,1016.0,996.5,166.0,20.0,8.3
3185,夢展望,5,4,5,2019.04.16,BULLISH DOJI STAR,10.0,4.0,2.0,32.0,1.0,15.5,12400,507.0,439.0,432.0,,68.0,7.0,9.71
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,20500,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,26700,434.0,,538.0,498.0,64.0,40.0,1.6
4288,(株)アズジェント,5,5,5,2019.04.12,BULLISH DOJI STAR,4.0,2.0,2.0,12.0,0.0,12.0,7300,2206.0,1970.0,1957.0,,236.0,13.0,18.15
3186,(株)ネクステージ,5,4,4,2019.04.16,BEARISH DESCENDING HAWK,6.0,3.0,3.0,11.0,0.0,11.0,266200,1015.0,,1149.0,1140.0,125.0,9.0,13.88
3844,コムチュア(株),5,5,5,2019.04.16,BEARISH DOJI STAR,8.0,2.0,1.0,21.0,0.0,10.5,83300,3314.0,,3730.0,3702.5,388.0,28.0,13.85
